id,bug详情,复现步骤,审核状态,重复情况,提交时间
91,点击上方故事库，在猜你喜欢版块中点击更多，部分名称较长的故事未显示全称,点击上方故事库，在猜你喜欢版块中点击更多，部分名称较长的故事未显示全称,审核不通过,2,2016-04-12 16:55:06
92,点击上方故事库，点击猜你喜欢版块上方的儿童阅读从听开始模块，部分名称较长的故事未显示全称,点击上方故事库，点击猜你喜欢版块上方的儿童阅读从听开始模块，部分名称较长的故事未显示全称,审核不通过,2,2016-04-12 16:55:09
93,点击上方故事库，点击猜你喜欢版块上方的小小男子汉模块，部分名称较长的故事未显示全称,点击上方故事库，点击猜你喜欢版块上方的小小男子汉模块，部分名称较长的故事未显示全称,审核不通过,2,2016-04-12 16:55:13
94,点击上方故事库，点击最下方hello春天你好模块，最下方柴可夫斯基-糖果仙女舞故事未显示全称,点击上方故事库，点击最下方hello春天你好模块，最下方柴可夫斯基-糖果仙女舞故事未显示全称,审核不通过,4,2016-04-12 16:55:20
95,点击上方故事库，点击排行榜，点击热播榜，点击免费，部分名称较长的故事未显示全称,点击上方故事库，点击排行榜，点击热播榜，点击免费，部分名称较长的故事未显示全称,审核不通过,4,2016-04-12 16:55:24
96,点击上方故事库，点击排行榜，点击热播榜，点击精品，部分名称较长的故事未显示全称,点击上方故事库，点击排行榜，点击热播榜，点击精品，部分名称较长的故事未显示全称,审核通过,4,2016-04-12 16:55:27
97,点击上方故事库，点击排行榜，点击畅销榜，部分名称较长的故事未显示全称,点击上方故事库，点击排行榜，点击畅销榜，部分名称较长的故事未显示全称,审核不通过,4,2016-04-12 16:55:30
98,点击上方故事库，点击排行榜，点击睡前热播榜，部分名称较长的故事未显示全称,点击上方故事库，点击排行榜，点击睡前热播榜，部分名称较长的故事未显示全称,审核不通过,4,2016-04-12 16:55:35
99,点击上方故事库，点击排行榜，点击起床热播榜，点击免费，部分名称较长的故事未显示全称,点击上方故事库，点击排行榜，点击起床热播榜，点击免费，部分名称较长的故事未显示全称,审核不通过,4,2016-04-12 16:55:40
100,点击上方故事库，点击排行榜，点击起床热播榜，点击精品，部分名称较长的故事未显示全称,点击上方故事库，点击排行榜，点击起床热播榜，点击精品，部分名称较长的故事未显示全称,审核通过,4,2016-04-12 16:55:42
101,点击上方故事库，点击排行榜，点击女孩最爱榜，点击精品，部分名称较长的故事未显示全称,点击上方故事库，点击排行榜，点击女孩最爱榜，点击精品，部分名称较长的故事未显示全称,审核不通过,4,2016-04-12 16:55:46
102,点击上方故事库，点击排行榜，点击女孩最爱榜，点击免费，部分名称较长的故事未显示全称,点击上方故事库，点击排行榜，点击女孩最爱榜，点击免费，部分名称较长的故事未显示全称,审核不通过,4,2016-04-12 16:55:49
103,点击上方故事库，点击排行榜，点击男孩最爱榜，点击免费，部分名称较长的故事未显示全称,点击上方故事库，点击排行榜，点击男孩最爱榜，点击免费，部分名称较长的故事未显示全称,审核不通过,4,2016-04-12 16:55:53
104,点击上方故事库，点击排行榜，点击男孩最爱榜，点击精品，部分名称较长的故事未显示全称,点击上方故事库，点击排行榜，点击男孩最爱榜，点击精品，部分名称较长的故事未显示全称,审核不通过,4,2016-04-12 16:56:02
105,点击上方故事库，点击排行榜，点击胎教热播榜，点击精品，部分名称较长的故事未显示全称,点击上方故事库，点击排行榜，点击胎教热播榜，点击精品，部分名称较长的故事未显示全称,审核不通过,4,2016-04-12 16:56:06
106,点击上方故事库，点击排行榜，点击胎教热播榜，点击免费，部分名称较长的故事未显示全称,点击上方故事库，点击排行榜，点击胎教热播榜，点击免费，部分名称较长的故事未显示全称,审核不通过,4,2016-04-12 16:56:09
107,点击上方故事库，点击排行榜，点击收藏榜，点击免费，部分名称较长的故事未显示全称,点击上方故事库，点击排行榜，点击收藏榜，点击免费，部分名称较长的故事未显示全称,审核不通过,4,2016-04-12 16:56:13
108,点击上方故事库，点击排行榜，点击收藏榜，点击精品，部分名称较长的故事未显示全称,点击上方故事库，点击排行榜，点击收藏榜，点击精品，部分名称较长的故事未显示全称,审核不通过,4,2016-04-12 16:56:16
109,点击上方故事库，点击独家，点击精品，部分名称较长的故事未显示全称,点击上方故事库，点击独家，点击精品，部分名称较长的故事未显示全称,审核不通过,4,2016-04-12 16:56:21
110,点击上方故事库，点击独家，点击免费，部分名称较长的故事未显示全称,点击上方故事库，点击独家，点击免费，部分名称较长的故事未显示全称,审核不通过,4,2016-04-12 16:56:24
111,点击上方故事库，点击电台，部分电台名称未显示全称,点击上方故事库，点击电台，部分电台名称未显示全称,审核不通过,2,2016-04-12 16:56:28
112,点击上方故事库，点击视频，部分视频名称未显示全称,点击上方故事库，点击视频，部分视频名称未显示全称,审核不通过,4,2016-04-12 16:56:31
113,故事页面上方的图片点击无反应,首页-故事库-故事-曹文轩（草房子）图片-点击无反应                                  ，,审核通过,17,2016-04-12 16:56:42
114,广播剧页面上方的图片点击无反应,首页-故事库-广播剧-篷车少年图片-点击无反应                                  ，,审核不通过,17,2016-04-12 16:56:47
115,书友会类目下多个图书缺少购买按钮,首页-社区-书友会-宝贝--森林不见了-页面下部缺少购买按钮,审核通过,12,2016-04-12 16:56:51
116,顺利下载、安装、登录，播放故事是出现闪退现象，算bug吗？,顺利下载、安装、登录，播放故事是出现闪退现象，算bug吗？手机型号 努比亚z5smini,审核不通过,18,2016-04-12 16:57:04
117,进入软件，点上面故事库，故事库底下滑屏第二个界面，1元购点击无反应。,进入软件，点上面故事库，故事库底下滑屏第二个界面，1元购点击无反应。,审核通过,13,2016-04-12 16:57:12
118,点击退出登录，输入相应的阿拉伯数字后，出现提示框，也选择确认后，停在设置界面不动,点击退出登录，输入相应的阿拉伯数字后，出现提示框，也选择确认后，停在设置界面不动,审核通过,5,2016-04-12 16:57:17
119,弹出礼物来，领取时弹出微信登录界面，应该是微信登录，“陆”字错误,弹出礼物来，领取时弹出微信登录界面，应该是微信登录，“陆”字错误,审核通过,5,2016-04-12 16:57:21
120,启动播放后 按桌面键或菜单键会 随机的出现播放停止,"1、启动播放
2、 按桌面键或菜单键 多切换几次其他引用（1~5次）  后台播放停止  
设备： 红米note3  全网通
tips: 我的手机用ireader之类的app  后台播放语音有时也会停止 但不会这么频繁",审核通过,18,2016-04-12 16:57:27
121,微信授权取消返回登录页面中一直存在加载动画,"1、点击进入登录页面
2、使用微信登录
3、授权页面中，点击取消，返回查看；
预期结果：不会有加载动画；
实际结果：一直存在加载动画",审核通过,5,2016-04-12 16:57:32
122,验证码中输入表情弹出提示错误,"1、点击进入注册页面
2、进入验证手机输入验证码页面中
3、验证码输入表情，点击；
预期结果：提示：验证码错误；
实际结果：提示：参数不全或无效参数",审核通过,3,2016-04-12 16:57:36
123,新增收货地址中，收货人、详细地址中输入表情保存后再次查看不显示,"1、登录成功，点击进入我的
2、点击进入编辑信息页面
3、点击收获地址
4、点击新增收货地址
5、收货人、详细地址中输入表情，新增成功后查看；
预期结果：正常显示
实际结果：收货人、详细地址不显示",审核不通过,8,2016-04-12 16:57:41
124,进行收藏操作后，收藏按钮状态不变,"1、点击我的
2、点击设置
3、点击兑换码
4、点击“什么是兑换码？”
5、点击右上角按钮，进行收藏操作后，查看；
预期结果：收藏按钮装备变化，例如变为亮的星星；
实际结果：收藏按钮状态不变",审核通过,12,2016-04-12 16:57:51
125,详情中，对有图片的评论进行评论操作，完成后查看评论显示中无图片,"1、点击我的
2、点击设置
3、点击兑换码
4、点击“什么是兑换码？”
5、对有图片的评论进行评论操作，完成后查看；
预期结果：评论显示中有图片；
实际结果：评论显示中无图片",审核通过,14,2016-04-12 16:58:03
126,软件设置中，当前数据缓存为0仍能进行清除缓存数据操作,"1、点击进入我的
2、点击进入设置
3、点击进入软件设置
4、当前数据缓存为0，点击进行清除缓存数据操作；
预期结果：清除失败，弹出提示；
实际结果：清除成功",审核不通过,15,2016-04-12 16:58:11
127,关于我们中网络服务协议存在app名称显示错误,"1、点击进入我的
2、点击进入设置
3、点击关于我们，查看；
预期结果：显示为“口袋故事网络服务协议”
实际结果：显示为“工程师爸爸网络服务协议”",审核通过,15,2016-04-12 16:58:15
128,无网络进入系统通知仍然会使红点消息,"1、打开软件
2、点击进入通知
3、系统通知中有红点显示
4、关闭网络，点击进入系统通知，点击返回查看；
预期结果：系统通知红点仍然显示；
实际结果：系统通知红点不显示",审核通过,16,2016-04-12 16:58:19
129,"退出口袋故事,重新登录后，点击播放按钮继续上次的故事，故事会停止不动，如果点击下一个故事按钮或者拉下滚动条，故事就会正常播放。","网络环境：wifi
手机:华为p8青春版
退出口袋故事，重新打开，不选其他故事，直接点击播放按钮继续上次故事,这时，不管点击停止还是继续按钮都没有反应，需要手动拖动滚动条或者按其它按钮，然后在按播放按钮就会继续播放故事了。",审核通过,18,2016-04-12 16:58:26
130,新增收货地址，地区中省选择北京后导致后面的市等显示错误,"1、登录成功，点击进入我的
2、点击进入编辑信息页面
3、点击收获地址
4、点击新增收货地址，地区中省选择北京，查看选市；
预期结果：市显示正确；
实际结果：市下显示为海定区等",审核通过,8,2016-04-12 16:58:29
131,切换到别的app的时候播放停止,下载安装，首页选中视频播放，然后切换到别的app，视频立刻停止播放，稍后回来的时候需要重新点击,审核不通过,18,2016-04-12 16:58:38
132,锁屏视频停止。。。。,播放视频的时候锁屏，立刻就停止了，还怎么继续播放三分钟啊,审核通过,18,2016-04-12 16:58:44
133,新增收货地址中未对输入的邮政编码有效性进行校验,"1、登录成功，点击进入我的
2、点击进入编辑信息页面
3、点击收获地址
4、点击新增收货地址，邮政编码中异常输入，点击保存信息；
预期结果：保存失败，弹出提示；
实际结果：保存成功",审核通过,8,2016-04-12 16:58:51
